# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
1.0027764663774364e-10	0.1745342	0.97236836	0.15350705
2.0043357398255554e-10	0.19428578	0.9784571	0.06744435
3.000612201599556e-10	0.18271144	0.9828817	0.016630713
4.0029339034563114e-10	0.1522419	0.9881077	-0.014048791
5.004988776090449e-10	0.10984602	0.9932745	-0.032861732
6.001129484612167e-10	0.05969105	0.99708194	-0.04482583
7.002993862825702e-10	0.0033654296	0.9984602	-0.053003453
8.005407172469607e-10	-0.05758513	0.9964634	-0.05897572
9.001677415720299e-10	-0.12180152	0.99036944	-0.06360377
1.000312839140814e-09	-0.18917802	0.97946656	-0.06735927
1.1005597330897241e-09	-0.2585354	0.96324855	-0.07035303
1.2002203404074753e-09	-0.32829666	0.9415661	-0.07255036
1.3003684742776797e-09	-0.3979649	0.9141663	-0.07390036
1.4000133609253234e-09	-0.46555012	0.8816042	-0.074333936
1.5002581976812477e-09	-0.5305622	0.8440938	-0.073865935
1.6004733732358233e-09	-0.59154284	0.8026354	-0.07258802
1.7001042137260453e-09	-0.6474834	0.7583972	-0.07068256
1.8002856044524519e-09	-0.6986505	0.7117642	-0.06833972
1.9005437097978572e-09	-0.7446883	0.66370803	-0.065787695
2.0002149644046295e-09	-0.7855014	0.61514246	-0.06324581
2.1003835527305216e-09	-0.82186353	0.5659275	-0.06085348
2.2000538358330163e-09	-0.853807	0.5167469	-0.058760963
2.3003108332853807e-09	-0.88208216	0.46709594	-0.05703612
2.4004923105140092e-09	-0.9068487	0.41719848	-0.05575288
2.500122482745582e-09	-0.92833155	0.3670916	-0.054949354
2.600336944490967e-09	-0.9470047	0.31592625	-0.054636456
2.700022398885237e-09	-0.9627951	0.26394504	-0.054825902
2.8002021907786887e-09	-0.9759034	0.2102602	-0.055517234
2.9003667821950207e-09	-0.9861721	0.154775	-0.05669719
3.000041613977416e-09	-0.99339235	0.097434126	-0.058328055
3.1002653901608924e-09	-0.9973427	0.037366275	-0.060376238
3.2003970254193923e-09	-0.9975767	-0.025222879	-0.06274901
3.3000502046275904e-09	-0.9936512	-0.09006425	-0.06531286
3.4003031089273804e-09	-0.9850038	-0.15762985	-0.06792898
3.5004506607273807e-09	-0.97118413	-0.22694883	-0.07037239
