# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
5.017952441882605e-11	0.15429232	0.96219075	0.22298582
1.0031405930912369e-10	0.19149402	0.9673859	0.1642898
1.503522468419319e-10	0.21600263	0.9689013	0.11899582
2.004647124301837e-10	0.2309092	0.9691571	0.08397891
2.500330084096301e-10	0.23841706	0.9693028	0.0572155
3.000977310628085e-10	0.24040754	0.9698275	0.036310844
3.502495231112459e-10	0.23806162	0.97088116	0.020120684
4.003312916654952e-10	0.23235834	0.97244376	0.0075967135
4.5039118776469526e-10	0.22403142	0.9744259	-0.002131186
5.000047334775095e-10	0.21372764	0.9766949	-0.00966224
5.500479885196279e-10	0.20167522	0.97918034	-0.015630014
6.001585249803129e-10	0.18824594	0.9817668	-0.020354573
6.502995058540926e-10	0.17367871	0.98436594	-0.024128973
7.003492071345447e-10	0.15818393	0.9868981	-0.027176326
7.504445512545549e-10	0.14184853	0.98930895	-0.02968336
8.000279039479679e-10	0.124957964	0.9915222	-0.03176363
8.500758056860527e-10	0.107247785	0.9935371	-0.03356241
9.002216784416414e-10	0.08888487	0.9952957	-0.035141475
9.50320675947789e-10	0.06995531	0.99675596	-0.0365571
1.0003627230692528e-09	0.050488185	0.9978843	-0.03785568
1.0505034674261493e-09	0.030438507	0.9986507	-0.039075673
1.1000306636095962e-09	0.0101108225	0.9990181	-0.040225826
1.1501159096206545e-09	-0.010965731	0.9989627	-0.04135129
1.2002665902160506e-09	-0.032584973	0.9984441	-0.042452373
1.2503220959561019e-09	-0.05466758	0.99743044	-0.04353288
1.3003985402105815e-09	-0.07725162	0.995886	-0.04459862
1.3500020805651373e-09	-0.10009233	0.9937998	-0.04563927
1.4000427066039098e-09	-0.123588085	0.99109995	-0.04667111
1.4501692350266368e-09	-0.14755529	0.98776275	-0.04768142
1.500293528126512e-09	-0.17192057	0.98376083	-0.04866116
1.5503343719694484e-09	-0.19660446	0.97907275	-0.049600057
1.60046063189879e-09	-0.22164412	0.97365654	-0.050491285
1.650012523134924e-09	-0.24665311	0.9675724	-0.051313233
1.7000850944316014e-09	-0.27212405	0.9606701	-0.052073102
1.750240453042748e-09	-0.29777145	0.9529859	-0.05275188
1.8003031100313277e-09	-0.3234335	0.9445423	-0.05333661
1.8503814542040884e-09	-0.34908915	0.9353264	-0.05381913
1.9005374802467063e-09	-0.37469053	0.92533576	-0.054191478
1.9500349774465323e-09	-0.39978415	0.91474897	-0.054443706
2.0001694697333555e-09	-0.42494673	0.90331614	-0.054578066
2.050289469307213e-09	-0.44976777	0.8912069	-0.054588296
2.1003454427960723e-09	-0.4741481	0.87847555	-0.05447478
2.150477464125391e-09	-0.4980854	0.86513364	-0.05423963
2.2000184602196282e-09	-0.5212058	0.85141814	-0.053892482
2.2501107063524713e-09	-0.5439869	0.8370678	-0.053432126
2.3002655581619662e-09	-0.5661474	0.82227075	-0.05286956
2.3503422853680463e-09	-0.5875857	0.80712664	-0.05221637
2.4004232479740313e-09	-0.6083077	0.7916688	-0.051482715
2.4500356352198783e-09	-0.62810636	0.7761022	-0.050688207
2.500098035884846e-09	-0.6473348	0.76019126	-0.049830146
2.550229358791321e-09	-0.6658292	0.74410355	-0.048926305
2.6003499916313625e-09	-0.6835599	0.72791	-0.047989894
2.650415938125935e-09	-0.7005203	0.7116662	-0.047033172
2.700023333744761e-09	-0.71659744	0.69553965	-0.046074636
2.7501111570173914e-09	-0.7321123	0.6792563	-0.045105882
2.800183451908658e-09	-0.74692214	0.66300374	-0.044145357
2.850329989658836e-09	-0.7610757	0.64677453	-0.043199293
2.900426402859585e-09	-0.77456325	0.6306262	-0.04227702
2.950498513754454e-09	-0.7874204	0.614563	-0.041384
3.000108383314515e-09	-0.7995709	0.5987332	-0.04053263
3.0501677179496296e-09	-0.81126654	0.5828511	-0.03971146
3.100287589567856e-09	-0.82243556	0.5670435	-0.03893091
3.150419812002066e-09	-0.83309376	0.5513249	-0.038194615
3.200478209084101e-09	-0.84325045	0.5357186	-0.037505932
3.2500877044988124e-09	-0.85286266	0.5203347	-0.036870915
3.300164997984351e-09	-0.8621319	0.5048811	-0.03627904
3.3502636344618108e-09	-0.8709928	0.48948708	-0.03573715
3.400404966403807e-09	-0.87947005	0.47413525	-0.035245623
3.4504921890320057e-09	-0.887568	0.45884266	-0.03480569
3.5000394530832732e-09	-0.8952335	0.44374356	-0.0344208
3.550179460845577e-09	-0.90265846	0.42847824	-0.03408223
3.6002330989549167e-09	-0.9097532	0.4132382	-0.033795197
3.650340933925586e-09	-0.91655254	0.39796424	-0.033558667
3.7004849440256388e-09	-0.92306626	0.3826447	-0.03337266
3.750545601320974e-09	-0.9292904	0.36729842	-0.033237346
3.800137968691887e-09	-0.93519163	0.35202616	-0.033152748
3.8502301406683856e-09	-0.9408932	0.33651114	-0.033117123
3.900289023596521e-09	-0.9463374	0.32089776	-0.03313142
3.950440142788997e-09	-0.9515432	0.30512685	-0.033195693
4.0005319341787326e-09	-0.95649815	0.28922552	-0.0333098
4.050060044250878e-09	-0.96115935	0.2733364	-0.033471674
4.100203850593441e-09	-0.96563786	0.25705987	-0.033685323
4.1502518797380976e-09	-0.96986544	0.24060254	-0.033948578
4.200350379406601e-09	-0.9738523	0.223895	-0.034262225
4.2504987450514195e-09	-0.9775928	0.20691486	-0.03462649
4.300551302903073e-09	-0.9810705	0.18968984	-0.03504028
4.3501301054298544e-09	-0.98425543	0.17233317	-0.035499554
4.4002321203673085e-09	-0.98720133	0.15447381	-0.036013447
4.450278257861855e-09	-0.98985815	0.13629237	-0.036576357
4.50041600075592e-09	-0.9922193	0.117714025	-0.037189413
4.550529630024373e-09	-0.9942625	0.09876082	-0.037850402
4.600030311550447e-09	-0.99595165	0.07964424	-0.038549405
4.650181637250487e-09	-0.99730885	0.059858453	-0.039302632
4.700241999768e-09	-0.9982852	0.03967354	-0.04009745
4.7503135070294125e-09	-0.99885863	0.019036109	-0.0409325
4.80046623236314e-09	-0.9990017	-0.0020943736	-0.041805454
