# t (s)	mx ()	my ()	mz ()
0	0.94881475	0.29962572	0.099875234
5.3995479734335966e-12	0.94806635	0.30003238	0.10377474
1.0444752303447812e-11	0.94734395	0.30083293	0.10764857
1.5343273017904264e-11	0.9466737	0.30155295	0.111390255
2.0220226090852905e-11	0.94604284	0.30213642	0.11509769
2.5166519899292605e-11	0.9454344	0.30258632	0.11885496
3.003489622081749e-11	0.94486696	0.302886	0.12254168
3.5465674537146906e-11	0.944273	0.30305058	0.1266269
4.0409177213873644e-11	0.94376963	0.30304572	0.13031325
4.529753141383908e-11	0.943308	0.30289692	0.13392515
5.0176118006602416e-11	0.9428837	0.30260596	0.13749528
5.5125637934460597e-11	0.94249153	0.3021647	0.14108069
6.055851168716562e-11	0.9421064	0.30151	0.14497189
6.541695091643177e-11	0.941803	0.30077258	0.14841051
7.037275394216212e-11	0.94153404	0.29987162	0.15187609
7.524343564131539e-11	0.9413101	0.29883915	0.15523906
8.01302003064567e-11	0.94112647	0.29765612	0.15856835
8.508069527752406e-11	0.94098246	0.29630673	0.16189349
9.050428165853227e-11	0.9408739	0.29465327	0.16547926
9.537005095332896e-11	0.9408206	0.29301342	0.16864346
1.0032667233087988e-10	0.9408094	0.29119033	0.17181359
1.0519042250181924e-10	0.9408409	0.28925115	0.17487048
1.1008802974333236e-10	0.9409153	0.28714755	0.17789298
1.1503313710183229e-10	0.9410335	0.2848695	0.18088642
1.204505550524601e-10	0.94121295	0.28219566	0.18409637
1.2532367275253267e-10	0.94141865	0.27963096	0.18691997
1.3028017489310047e-10	0.94167054	0.27686688	0.18972813
1.3513432248054544e-10	0.9419586	0.2740077	0.19241433
1.4004249282046942e-10	0.94229114	0.27096325	0.1950644
1.4552218525734938e-10	0.9427107	0.2673816	0.19794261
1.5039555560996623e-10	0.94312584	0.2640342	0.20042928
1.5527369336780462e-10	0.94358027	0.2605304	0.20284781
1.6023043461265766e-10	0.9440811	0.2568132	0.20523138
1.6507798421620341e-10	0.9446079	0.25302467	0.20748873
1.7051562640532744e-10	0.94524145	0.24859457	0.20993225
1.7547163739758803e-10	0.9458567	0.2443907	0.21207595
1.8034046978749065e-10	0.9464949	0.24010639	0.21410283
1.8522940867128055e-10	0.94716823	0.23565051	0.21605769
1.9018064223130597e-10	0.9478819	0.2309808	0.21795371
1.9502420493688558e-10	0.94860935	0.22625986	0.21972542
2.0046560527888102e-10	0.94945943	0.22077613	0.22161594
2.0542573461324383e-10	0.95026267	0.21561174	0.22324543
2.10283442640481e-10	0.95107365	0.2104011	0.22475298
